paraPerHost;freq
0;59
1;44
2;33
3;33
4;29
5;23
6;17
7;13
8;11
9;14
10;8
11;13
12;5
13;8
14;6
15;6
16;5
17;7
18;5
19;4
20;5
21;11
22;5
23;5
24;5
25;10
26;5
27;4
28;3
29;3
30;5
31;7
32;4
33;4
34;5
35;2
36;4
37;3
38;3
39;4
40;1
41;1
42;2
43;1
44;3
45;2
46;0
47;4
48;3
49;2
50;2
51;1
52;1
53;4
54;1
55;0
56;0
57;0
58;1
59;0
60;2
61;0
62;2
63;1
64;1
65;1
66;2
67;2
68;0
69;0
70;1
71;0
72;0
73;0
74;1
75;0
76;0
77;0
78;2
79;0
80;0
81;0
82;0
83;0
84;1
85;0
86;0
87;1
88;0
89;0
90;1
91;0
92;1
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;1
101;0
102;0
103;0
104;0
105;0
106;0
107;0
108;0
109;0
110;0
111;0
112;0
113;0
114;0
115;0
116;1
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;0
129;0
130;0
131;0
132;0
133;0
134;0
135;0
136;0
137;0
138;0
139;0
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;0
153;0
154;0
155;0
156;0
157;0
158;0
159;0
160;0
161;1
162;1
163;0
164;0
165;0
166;0
167;0
168;1
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;0
178;0
179;0
180;1
